Year,State,Text
1987-1988,Alabama,"""Intellectually identified Gifted"" students are those children and youth who highly refined as Possessing demonstrated or potential abilities for productive cognitive functioning (including creative or thinking) and who by reason thereof or activities not require services ordinarily provided by the school"
1987-1988,Arkansas,"In Arkansas, gifted and talented children and youth are identified as those of high potential or ability whose learning characteristics and educational needs require qualitatively differentiated educational experiences and/or services"
1987-1988,Georgia,The gifted student is one who demonstrates a high degree of intellectual ability and who needs special instruction and/or special ancillary services in order to achieve at levels commensurate with his/her intellectual ability.
1987-1988,Hawaii,"""Gifted and talented are children and youth whose superior performance or potential indicates possible giftedness in intellectual, creative, or specific academic abilities, leadership CAPABILITY, psychomotor ability, or talent in the performing and visual arts."""
1987-1988,Idaho,"Gifted/talented refers to those students who are identified as possessing demonstrated or potential abilities that give evidence of high performing capabilities in intellectual, creative, specific academic and/or leadership areas, or ability in the performing or visual arts."
1987-1988,Iowa,"""Gifted and talented children” are those identified as possessing outstanding abilities who are CAPABLE of high performance. Gifted and talented children are children who require appropriate instruction and education services commensurate with their abilities and needs beyond those provided by the regular school program. Gifted and talented children include those children with demonstrated achievement or potential ability, or both, in any of the following areas or in combination: (1) general intellectual ability; (2) creative thinking; (3) leadership ability; (4) visual and performing arts ability; and (5) specific ability aptitude"
1987-1988,Kansas,"Intellectually gifted children and youth are those who have potential for outstanding performance by virtue of superior intellectual abilities. ""Intellectually gifted means outstanding performance or potential for outstanding performance by virtue of superior intellectual abilities."" Both students with demonstrated achievement and students with minimal or low performance who give evidence of high potential in general intellectual ability, specific academic aptitudes, and/or creative thinking abilities are Included in this definition."
,, 
1987-1988,Kentucky,"Gifted children and youth are those who, by virtue of outstanding abilities, are CAPABLE of high performance and leadership and who have been identified by professionally qualified persons. These are pupils who require qualitatively differentiated educational programs and/or services beyond those normally provided by the regular school program in order to realize self fulfillment and to maximize their contribution to society."
1987-1988,Maine,"Gifted and talented children shall mean those children in grades K-12 who excel, or have the potential to excel, beyond their age peers, in the regular school program, to the extent that they need and can benefit from programs for the gifted and talented. Gifted and talented children shall receive specialized instruction through these programs if they have exceptional ability, aptitude, skill, or creativity in one or more of the following categories: 1. General Intellectual Ability as shown by demonstrated significant achievement or potential for significant accomplishment above their age peers in all academic areas. 2. Specific Academic Aptitude as shown by demonstrated significant achievement or potential for significant accomplishment above their age peers in one or more academic area(s). 3. Artistic Ability as shown by demonstrated significant achievement or potential for significant accomplishment above their age peers in the literary, performing, and/or visual arts. "
,,
1987-1988,Mississippi,"Gifted and talented children means children and youth who are identified at the preschool, elementary, or secondary level as possessing demonstrated or potential abilities that give evidence or high performance CAPABILITY in areas such as intellectual, creative, specific academic, or leadership ability, or in the visual and performing arts, and who by reason thereof, require educational services or activities not ordinarily provided by the school. "
,,"Intellectually Gifted:  Intellectually gifted are individuals identified as possessing demonstrated or potentially high intellectual ability. Disadvantaged gifted are individuals who demonstrate high intellectual potential, but might not have had an opportunity to develop their mental capacities because of external influences. Talented academically: Academically talented are those individuals possessing specific academic aptitude beyond the norm in achievement in one or more academic areas to the extent that they need and profit from advanced content studies in both greater depth and rapid acceleration. Talented in visual and/or performing arts: Individuals who possess exceptional ability in the visual and/or performing arts; who demonstrate outstanding aesthetic production or creativity in the areas of art, dance, music, speech, and/or drama and in activities requiring possession of exceptional gross or fine manipulative and motor skills proceeding from mental stimuli."
1987-1988,Nebraska,"The term ""gifted children"" shall mean children who excel markedly in ability to think, reason, judge, invent, or create and who need special facilities and services in order to assist them to achieve more nearly their potentials for their own sakes as individuals and for the increased contributions they may make to the community, state, and nation"
1987-1988,Nevada,"Academically talented means superior intellectual development and/or outstanding talent which makes the child CAPABLE of high performance, including demonstrated achievement or potential. Differentiated educational programs and/or services are require beyond those normally provided by the regular school program enable the child to realize contributions of self and society."
1987-1988,New Hampshire,"""Gifted and talented children are those with outstanding abilities who are CAPABLE of high performance. These are students who require differentiated educational programs and/or services beyond those normally provided by the regular school curriculum. These students include those with demonstrated achievement and/or potential ability in any of the following areas, singly or in combination: (1) general intellectual ability; 2) specific academic aptitude; (3) creative or productive thinking; (4) leadership ability; (5) visual and performing arts."""
1987-1988,New Mexico,"""Gifted child"" means a school-age person whose measured intelligence quotient, either verbal or nonverbal, measures at least two standard deviations above the mean on an intelligence test approved by the state board and who meets at least one of the following additional criteria:"
,," (1) ""score of at least the ninety-fifth percentile and above the total battery score on a standardized achievement test approved by the State Board;"
,, (2) outstanding creativity or divergent thinking as established in the educational standards for New Mexico schools ; and
,, (3) outstanding critical thinking or problem-solving ability as defined in the educational standards for New Mexico schools.
1987-1988,North Dakota,"Gifted child means a gifted or talented child, identified by a qualified professional as a student who, by virtue of outstanding abilities, is CAPABLE of high performance and who requires differentiated educational programs and services beyond those normally provided by the regular school program in order to realize his contribution to self and society"
1987-1988,Oregon,"""Talented and gifted children"" means those children who require special educational programs or services, or both, beyond these normally provided by the regular school program in order to realize their contribution to self and society and who demonstrates outstanding ability or potential in one or more of the following areas:"
,, 1. General intellectual ability as commonly measured by measures of Intelligence and aptitude.
,, 2. Unusual academic ability in one or more academic areas 
,,3. Creative ability in using original or non-traditional metnods thinking and producing.
,, 4. Leadership ability in motivating the performance of othsrs either in educational or non-educational settings. 
,,"5. Ability in the visual or performing arts. such as dance music, or art."
1987-1988,South Dakota,"Gifted is defined as ""students who have a demonstrated ability or potential for academic accomplishment that is outstanding in comparison to their peer group and whose educational needs cannot be met with modification of the regular curriculum."
1987-1988,Utah,Gifted and talented students are those students whose abilities and potentials for accomplishment are so outstanding that they require more challenging educational programs to meet their need in one or more of the following areas:
,, 1. Intellectual: students with high aptitude for abstract reasoning and conceptualization who are curious about a variety of things and are alerts and observant.
,, 2. Academic: students who evidence extraordinary learning ability in one or more specific disciplines.
,," 3. visual, performing, or psycho-motor arts: Students who are consistently superior in the development of a product or performance in any of the visual, performing, or psycho-motor arts."
,, 4. Practical arts: Students who excel in the development of a product or performance in any area of vocational/technical education.
,," 5. Leadership: Students who exhibit keen sensitivty to self and others, and who are accepted as leaders. Such children and youth demonstrate high ability to accomplish group goals by working with and through others."
,," 6. Creativity: Students who are highly insightful imaginative, and innovative; who consistently engage in differentiating, integrating, and generalizing seemingly unrelated information to formulate new and novel solutions to conventional tasks."
,," 7. Psycho-social: Children and youth who demonstrate a natural capacity to love, to understand, to empathize, to be compassionate, and to be of service. Those who have the ""gift of caring."""
1990-1991,Alabama,Children and youth who are identified as possessing demonstrated or potential abilities for highly refined cognitive functioning (including creative or productive thinking) and who by reason thereof require services or activities not ordinarily provided by the school. 
1990-1991,Alaska,"Gifted children exhibit outstanding intellect, ability, or creative talent."
1990-1991,Arkansas,"Gifted and talented children and youth are those of high potential or ability whose learning characteristics and educational needs require qualitatively differentiated educational experiences and/or services. Possession of these talents and gifts, or the potential for their development, will be evidenced through an interaction of above-average intellectual ability, task commitment and/or motivation and creative ability. "
1990-1991,California,"Education Code Section 52201, September 1989 Gifted and Talented pupil as used in this chapter, means a pupil enrolled in a public elementary or secondary school of this state who is identified as possessing demonstrated or potential abilities that give evidence of high-performance CAPABILITY as defined pursuant to E.C. Section 52205. Education Code Section 52202 For purposes of this chapter, the demonstrated or potential abilities that give evidence of high-performance CAPABILITY shall be defined by each school district governing board in accordance with regulations established by the State Board of Education. Each school district shall use one or more of the following categories in defining the CAPABILITY: intellectual, creative, specific academic, or leadership ability; high achievement; performing and visual art talents; or any other criterion that meets the standards set forth by the State Board of Education. Each governing board shall also consider identifying as gifted or talented any pupil who has transferred from a district in which he or she was identified as a gifted or talented pupil. "
1990-1991,Colorado,Gifted and Talented Children means those students whose performance or the assessed potential for such performance is so outstanding that they require differentiated programming to meet their educational needs. Such performance or the potential for such performance may be demonstrated through one or a combination of the following: 
,,1. Outstanding accomplishment(s) within one or more areas of the school curricula 
,,"2. Outstanding reasoning, problem-solving abilities, leadership skills, visual and performing arts, and/or creative, productive thinking abilities"
1990-1991,Connecticut,"Extraordinary learning ability means a child identified by the planning and placement team as gifted and talented on the basis of either performance on relevant standardized measuring instruments, or demonstrated or potential achievement or intellectual creativity, or both. The term shall refer to the top five per cent of the children identified. Outstanding talent in the creative arts means a child identified by the planning and placement team as gifted and talented on the basis of demonstrated or potential achievement in music, the visual arts or the performing arts. The term shall refer to the top five per cent of the children identified. Gifted and talented means a child identified by the planning and placement team as "
,,"(1) possessing demonstrated or potential abilities that give evidence of very superior intellectual, creative or specific academic CAPABILITY and "
,,"(2) needing differentiated instruction or services beyond those being provided in the regular school program in order to realize their intellectual, creative or specific academic potential. The term shall include children with extraordinary learning ability and children with outstanding talent in the creative arts as defined by regulations."
1990-1991,Delaware,"Gifted and talented children, identified by professionally qualified persons, are those who by virtue of outstanding abilities are CAPABLE of high performance. They require differentiated educational programs and/or services beyond those normally provided by the regular school program in order to realize their contributions to self and to society. Students who are CAPABLE of high performance include those with demonstrated achievement and/or potential ability in any of the following areas, singularly or in combination: "
,,1. General intellectual ability 
,,2. Specific academic aptitude 
,,3. Creative or productive thinking 
,,4. Leadership ability 
,,5. Visual or performing arts 
,,6. Psychomotor skills
1990-1991,Florida,1. Gifted - One who has superior intellectual development and is CAPABLE of high performance. The mental development of a gifted student is two (2) standard deviations or more above the mean.
1990-1991,Georgia,The gifted student is one who demonstrates a high degree of intellectual ability and who needs special instruction and/or special ancillary services in order to achieve at levels commensurate with his or her intellectual ability. 
1990-1991,Hawaii,"Gifted and talented are children and youth whose superior performance or potential indicate possible giftedness in intellectual, creative, or specific academic abilities, leadership CAPABILITY, psychomotor ability, or talented in the performing and visual arts. Giftedness is the interaction of three basic traits: "
,,1. Above average ability 
,,2. High creativity ability 
,,3. High task commitment which bear upon a specific performance area 
,,"Gifted students are those with test scores and/or performances substantially and consistently above average who also meet other multiple identification and selection criteria. Talented students are those meeting the multiple identification and selection criteria largely based on products or performance. Potential can be determined through analysis of test scores, performances or other means of "
,,identification.
1990-1991,Illinois,Gifted and Talented Children means those children who consistently excel or show the potential to be consistently superior in one or more of the following areas of human endeavor: 
,,General Intellectual Ability - The child possesses general intellectual ability: 
,,"High-level Thought Processes - the ability to make valid generalizations about events, people and things "
,,"Divergent Thinking - the ability to identify and consider multiple, valid solutions to a given problem which is consistently superior to that of other children to the extent that he or she needs and can profit from specially planned educational services beyond those normally provided by the standard school program. "
,,"Specific Aptitude/Talent - The child possesses a specific aptitude/talent in a specific academic area, creativity or the arts which is consistently superior to the aptitudes of the other children to the extent that he or she needs and can profit from specially planned educational services beyond those normally provided by the standard school program."
1990-1991,Indiana,"Gifted and talented child means a child, including a pre-school child, who requires services and educational experiences not ordinarily offered in the regular school curriculum to develop demonstrated or potential aptitude, leadership and creativity in either of the following areas. "
,,"1. Intellectual/academic, as evidenced by a superior aptitude for: "
,,"a. Understanding facts, concepts, generalizations and their relationships; "
,,b. Reasoning; and 
,,c. Developing and evaluating ideas as they relate to a specific discipline; 
,,"2. Visual or performing arts, as evidenced by a superior aptitude for: "
,,"- a. Demonstrating, through exhibition or performance, aesthetic, critical, historical and production "
,,"aspects of dance, music, theater or the visual arts; and "
,,"b. Understanding the arts, including knowledge, skills, generalizations and their relationships. "
1990-1991,Iowa,Gifted and talented children are those identified as possessing outstanding abilities who are CAPABLE of high performance. Gifted and talented children are children who require appropriate instruction and educational services commensurate with their abilities and needs beyond those provided by the regular 
,,"school program. Gifted and talented children include those children with demonstrated achievement or potential ability, or both, in any of the following areas or in combination: "
,,"1. General intellectual ability - students who can learn at a faster pace, master higher level of content and handle abstract concepts at a significantly higher level than expected, given the student's chronological age and experiences. "
,,"2. Creative thinking - students who have advanced insight, outstanding imagination and innovative reasoning ability. Such students possess outstanding ability to integrate seemingly unrelated information in formulating unique ideas, insights, solutions or products."
,,"3. Leadership ability - students who possess outstanding potential or demonstrated ability to exercise influence on decision making. These students may be consistently recognized by their peers, may demonstrate leadership behavior through school and non-school activities or may evidence personal skills and abilities that are characteristic of effective leaders. - "
,,"4. Visual and performance arts ability - students who demonstrate or indicate potential for outstanding aesthetic production or creativity in areas such as art, dance, music, drama and media production. "
,,5. Specific ability aptitude - students who have exceptionally high achievement or potential and a high degree of interest in a specific field of study.
1990-1991,Kansas,Intellectually gifted children and youth are those who have potential for outstanding performance by virtue of superior intellectual abilities. Intellectually gifted means outstanding performance or potential for 
,,"outstanding performance by virtue of superior intellectual abilities. Both students with demonstrated achievement and students with minimal or low performance who give evidence of high potential in general intellectual ability, specific academic aptitudes and/or creative thinking are included in this definition. "
1990-1991,Louisiana,"In accordance with Louisiana Act 754, a free, appropriate public education is assured to all exceptional (including gifted and talented) children, ages 3 through 21. Gifted - Possession of demonstrated abilities that give evidence of high performance in academic and intellectual aptitudes. Measures IQ and academic achievement, not creativity. Talented - Possession of measurable abilities that give clear evidence of unique talent In visual or performing arts, or both. "
1990-1991,Maine,"Gifted and talented children shall mean those children in grades K-12 who excel or have the potential to excel beyond their age peers in the regular school program to the extent that they need and can benefit from programs for the gifted and talented. Gifted and talented children shall receive specialized instruction through these programs if they have exceptional ability, aptitude, skill, or creativity in one or more of the following categories:"
,, 1. General intellectual ability as shown by demonstrated significant achievement or potential for significant accomplishment above their age peers in all academic areas;
,, 2. Specific academic aptitude as shown by demonstrated significant achievement or potential for significant accomplishment above their age peers in one or more academic areas;
,," 3. Artistic ability as shown by demonstrated significant achievement or potential for significant accomplishment above their age peers in the literary, performing, and/or visual arts."
,, Children with exceptional general intellectual ability and/or exceptional specific academic aptitude usually comprise five percent of the school population. Children with exceptional artistic ability usually comprise five percent of the school population. Children in the top two percent of the school population may be considered highly gifted.
1990-1991,Maryland,Maryland has defined by law the gifted and talented student as an elementary or secondary student who is identified by professionally qualified individuals as having outstanding abilities in the area of: 
,,1. General intellectual capabilities 
,,2. Specific academic aptitudes 
,,"3. Creative, visual or performing arts "
,,A gifted and talented child needs different services beyond those normally provided by the regular school programs in order to develop his potential.
1990-1991,Michigan,"Gifted and talented children means children, and whenever applicable, youth, who are identified at the preschool, elementary or secondary level, as possessing demonstrated or potential abilities that give evidence of high performance CAPABILITY in areas such as intellectual, creative, specific academic, or leadership ability, or in the performing and visual arts, and who, by reason thereof, require services or activities not ordinarily provided by the school. "
1990-1991,Minnesota,"Gifted and talented children are those who by virtue of outstanding abilities are CAPABLE of high performance. These are children whose potentialities can be realized through differentiated educational programs and/or services beyond those normally provided by the regular school program. Children CAPABLE of high performance include those with demonstrated achievement or potential ability in any of the following areas, singly or in combination: general intellectual ability, specific academic aptitude, creative or productive thinking, leadership ability, and visual and performing arts. "
1990-1991,Mississippi,1. Gifted children means children and youth who are found to have an exceptionally high degree of intellect and/or academic ability. 
1990-1991,Missouri,Those children who exhibit precocious development of mental capacity and learning potential as determined by competent professional evaluation to the extent that continued educational growth and stimulation could best be served by an academic environment beyond that offered through a standard grade level curriculum.
1990-1991,Montana,Gifted and talented means children of outstanding abilities who are CAPABLE of high performance and require differentiated educational programs beyond those normally offered in public schools in order to fully achieve their potential contribution to self and society. The children so identified include those with demonstrated achievement or potential ability in a variety of worthwhile human endeavors. 
1990-1991,Nebraska,"The term shall mean children who excel markedly in ability to think, reason, judge, invent or create and who need special facilities and services in order to assist them to achieve more nearly their potentials for their own sake as individuals and for the increased contributions they may make to community, state and nation."
1990-1991,Nevada,Academically talented means the possession of outstanding cogmtive abilities or the demonstrated CAPABILITY to perform at a high level in an area of academic achievement.
1990-1991,New Hampshire,"Gifted and talented children are those with outstanding abilities who are CAPABLE of excellence. These are students who require differentiated educational programs and/or services beyond those normally provided by the regular school curriculum. These students include those with demonstrated achievement and/or potential ability in any of the following areas, singly or in combination: "
,,1. General intellectual ability 
,,2. Specific academic aptitude 
,,3. Creative or productive thinking 
,,4. Leadership ability 
,,5. Visual and performing arts 
1990-1991,New York,"Gifted pupils shall mean those pupils who show evidence of high performance CAPABILITY and exceptional potential in areas such as general intellectual ability, special academic aptitude and outstanding ability in visual and performing arts. Such definition shall include those pupils who require educational programs or services beyond those normally provided by the regular school program in order to realize their full potential. "
1990-1991,North Carolina,"Academically gifted students are defined as those who demonstrate or have the potential to demonstrate outstanding intellectual aptitude and specific academic ability. In order to develop their abilities, these students may request differentiated educational services beyond those ordinarily provided by the regular school program. "
1990-1991,North Dakota,"Gifted child means a gifted or talented child identified by a professional, qualified person who by virtue of outstanding abilities, is capable of high performance and who requires differentiated educational programs and services beyond those normally provided by the regular school program in order to realize his contribution to self and society. "
1990-1991,Ohio,Any child who meets the following requirements shall be determined to be a gifted child and shall be eligible for programs established by school districts: 
,,"A. Is of legal age, including those approved for early admission "
,,B. Is superior in one or more of the following types of ability: 
,,1. Superior cognitive ability; 
,,2. Specific academic ability; 
,,"3. Creative thinking ability,' and, "
,,4. Visual and/or performing arts ability
1990-1991,Oklahoma,"Gifted and talented children means those children identified at the preschool, elementary and secondary level as having demonstrated potential abilities of high performance CAPABILITY and needing differentiated or accelerated education or services. For the purpose of this definition, demonstrated abilities of high performance CAPABILITY means those identified students who score in the top 3 % on any national standardized test of intellectual ability. Said definition may also include students who excel in one or more of the following areas: "
,,A. Creative thinking ability 
,,B. Leadership ability 
,,C. Visual and performing arts ability 
,,D. Specific academic ability
1990-1991,Oregon,"Talented and gifted children means those children who require special educational programs or services, or both, beyond those normally provided by the regular school program in order to realize their contribution to self and society and who demonstrate outstanding ability or potential in one or more of the following areas: "
,,A. General intellectual ability as commonly measured by measures of intelligence and aptitude 
,,B. Unusual academic ability in one or more academic areas 
,,C. Creative ability in using original or non-traditional methods in thinking and producing 
,,D. Leadership ability in motivating the performance of others either in educational or non-traditional 
,,settings 
,,"E. Ability in the visual or performing arts, such as dance, music or art"
1990-1991,Pennsylvania,"Mentally Gifted - Outstanding intellectual and creative ability, the development of which requires special services and programs not ordinarily provided in the regular education program. This term now includes a person who has an IQ of 130 or higher and when multiple criteria, as set forth in Department Guidelines, indicate gifted ability. "
1990-1991,South Carolina,Gifted and talented students ate those who are identified in grades 1-12 as possessing demonstrated or potential abilities for high performance in academic or artistic areas and therefore require services or program not ordinarily provided by the regular school program. - Gifted and talented abilities for these regulations include: 
,,1. Academic and intellectual ability - The academic and intellectual potential to function at a high level in one or more fields of study. 
,,2. Visual and performing arts -The artistic potential to function at a high performance level in one or more of the fine arts. 
1990-1991,South Dakota,Gifted students are children in grades 1 through 12 who have superior ability or potential demonstrated through documented evidence of requirements and whose educational needs require modification of the regular curriculum. Such ability or potential may be demonstrated in any of the following areas or in combination: 
,,1. General intellectual ability 
,,2. Creative thinking 
,,3. Leadership ability 
,,4. Specific academic aptitude
1990-1991,Tennessee,A child whose intellectual abilities and potential for achievement are so outstanding that special provisions are required to meet the established educational needs is considered intellectually gifted. Criteria A child must meet two of the following: 
,,A. Intellectual functioning and ability which measure at least two standard deviations above the mean 
,,B. Superior academic or achievement ability which measure at the 96th percentile or above in one or more major academic areas 
,,C. Superior intellectual ability demonstrated by the child's ideas and projects related to one or more academic fields 
