Year,State,Text
2018-2019,Mississippi,Intellectually gifted children shall mean those children and youth who are found to have an exceptionally high degree of intelligence as documented through the identification process. Academically gifted children shall mean those children and youth who are found to have an exceptionally high degree of demonstrated academic ability as documented through the identification process. Artistically gifted children shall mean those children and youth who are found to have an exceptionally high degree of creativity and an exceptionally high degree of ability in the visual arts as documented through the identification process. Creatively gifted children shall mean those children and youth who are found to have an exceptionally high degree of creativity and an exceptionally high degree of ability in the performing arts as documented through the identification process.
,," NOTE: added ""as documented through the identification process.""         "
2018-2019,Montana,High ability/high potential students are defined as children with capabilities that “require differentiated educational programs beyond those normally offered in public schools in order to fully achieve their potential contribution to self and society.”
2018-2019,Nebraska,"Learner with high ability means a student who gives evidence of high performance capability in such areas as intellectual, creative, or artistic capacity or in specific academic fields and who requires accelerated"
,,or differentiated curriculum programs in order to develop those capabilities fully.
2018-2019,Nevada,Gifted and talented means a person who possesses or demonstrates outstanding ability in one or more of the following: 1. General intelligence; 2. Academic aptitude in a specific area; 3. Creative thinking; 4. Productive thinking; 5. Leadership; 6. The visual arts; or 7. The performing arts.
2018-2019,New Jersey,Gifted and talented student means a student who possesses or demonstrates a high level of ability in one or more content areas when compared to his chronological peers in the school district and who requires modifications of his educational program if he is to achieve in accordance with his capabilities.
2018-2019,New Mexico,"As used in 6.31.2.12 NMAC, gifted child means a school-age person as defined in Subsection D of Sec. 22-13-6 NMSA 1978 whose intellectual ability paired with subject matter aptitude/ achievement, creativity/divergent thinking, or problem-solving/critical thinking meets the eligibility criteria in 6.31.2.12 NMAC and for whom a properly constituted IEP team determines that special education services are required to meet the child’s educational needs."
2018-2019,North Carolina,"Academically or intellectually gifted students exhibit high performance CAPABILITY in intellectual areas, specific academic fields, or in both intellectual areas and specific academic fields. Academically or intellectually gifted students require differentiated educational services beyond those ordinarily provided by the regular educational program. Outstanding abilities are present in students from all cultural groups, across all economic strata, and in all areas of human endeavor."
2018-2019,Ohio,"Gifted means students who perform or show potential for performing at remarkably high levels of accomplishment when compared to others of their age, experience, or environment and who are identified under division (A), (B), (C), or (D) of section 3324.03 of the Revised Code."
2018-2019,Oklahoma,"“Gifted and talented children” means those children identified at the preschool, elementary and secondary level as having demonstrated potential abilities of high performance capability and needing differentiated or accelerated education or services. For the purpose of this definition, “demonstrated abilities of high performance capability” means those identified students who score in the top three percent (3%) on any national standardized test of intellectual ability. Said definition may also include students who excel in one or more of the following areas: a. creative thinking ability, b. leadership ability, c. visual performing arts ability, and d. specific academic ability."
2018-2019,Oregon,"Talented and gifted children means those children who require special educational programs or services, or both, beyond those normally provided by the regular school program in order to realize their contribution to self and society and who demonstrate outstanding ability or potential in one or more of the following areas: (a) General intellectual ability as commonly measured by measures of intelligence and aptitude. (b) Unusual academic ability in one or more academic areas. (c) Creative ability in using original or nontraditional methods in thinking and producing. (d) Leadership ability in motivating the performance of others either in educational or noneducational settings. (e) Ability in the visual or performing arts, such as dance, music or art"
2018-2019,Pennsylvania,"Mentally gifted—Outstanding intellectual and creative ability the development of which requires specially designed programs or support services, or both, not ordinarily provided in the regular education program."
2018-2019,Rhode Island,"Learning Beyond Grade Level (frequently called Gifted and Talented Education) is the identification of students who show evidence of high achievement CAPABILITY in areas such as intellectual, creative, artistic, or leadership capacity; as well as in specific academic fields, and who need services or activities not ordinarily provided by the school in order to fully develop those capabilities."
2018-2019,South Carolina,"1. Gifted and talented students are those who are identified in grades one through twelve as demonstrating high performance ability or potential in academic and/or artistic areas and therefore require educational programming beyond that normally provided by the general school programming in order to achieve their potential. 2. Gifted and talented abilities for these regulations include (a) Academic and Intellectual Ability: Students who have the academic and/or intellectual potential to function at a high level in one or more academic areas. (b) Visual and Performing Arts: Students who have the artistic potential to function at a high performance level in one or more of the fine arts (dance, music, theatre, and visual arts)."
2018-2019,Tennessee,"Intellectually Gifted means a child whose intellectual abilities, creativity, and potential for achievement are so outstanding that the child’s needs exceed differentiated general education programming, adversely affects educational performance, and requires specifically designed instruction or support services. Children from all populations (e.g., all cultural, racial, and ethnic groups, English Learners, all economic strata, twice exceptional, etc.) can be found to possess these abilities. Children identified as intellectually gifted are exempted from the discipline procedures at 34 C.F.R. §300.530- 537. Children with a dual diagnosis that includes intellectually gifted must be considered as children with a disability and may not be exempted from the discipline procedures at 34 C.F.R. §300.530-537."
2018-2019,Utah,"Gifted and talented programs means programs to identify, through multiple assessment instruments, and serve students with outstanding abilities in the following areas: (i) general intellectual ability; (ii) specific academic aptitude; and (iii) creative or productive thinking."
2018-2019,Vermont,"“Gifted and talented children” means children identified by professionally qualified persons who, when compared to others of their age, experience, or environment, exhibit CAPABILITY of high performance in intellectual, creative, or artistic areas, possess an unusual capacity for leadership, or excel in specific academic fields."
2018-2019,Virginia,"Gifted students means those students in public elementary, middle, and secondary schools beginning with kindergarten through twelfth grade who demonstrate high levels of accomplishment or who show the potential for higher levels of accomplishment when compared to others of the same age, experience, or environment. Their aptitudes and potential for accomplishment are so outstanding that they require special programs to meet their educational needs."
2018-2019,Washington,"Highly CAPABLE students are students who perform or show potential for performing at significantly advanced academic levels when compared with others of their age, experiences, or environments. Outstanding abilities are seen within students’ general intellectual aptitudes, specific academic abilities, and/or creative productivities within a specific domain. These students are present not only in the general populace but are present within all protected classes according to chapters 28A.640 and 28A.642 RCW."
2018-2019,West Virginia,Giftedness is exceptional intellectual abilities and potential for achievement that requires specially designed instruction and/or services beyond those normally provided in the general classroom instruction.
2018-2019,Wisconsin,"“Gifted and talented pupils” means pupils enrolled in public schools who give evidence of high performance CAPABILITY in intellectual, creative, artistic, leadership or specific academic areas and who need services or activities not ordinarily provided in a regular school program in order to fully develop such capabilities."
2018-2019,Wyoming,"Gifted and talented students identified by professionals and other qualified individuals as having outstanding abilities, who are CAPABLE of high performance and whose abilities, talents and potential require qualitatively differentiated educational programs and services beyond those normally provided by the regular school program in order to realize their contribution to self and society."
2020-2021,Alabama,"Intellectually gifted children and youth are those who perform or who have demonstrated the potential to perform at high levels in academic or creative fields when compared with others of their age, experience, or environment. These children and youth require services not ordinarily provided by the regular school program. Children and youth possessing these abilities can be found in all populations, across all economic strata, and in all areas of human endeavor. "
2020-2021,Alaska,"Gifted means exhibiting outstanding intellect, ability, or creative talent."
2020-2021,Arizona,"Gifted pupil means a child who is of lawful school age, who due to superior intellect or advanced learning ability, or both, is not afforded an opportunity for otherwise attainable progress and development in regular classroom instruction and who needs appropriate gifted education services, to achieve at levels commensurate with the child’s intellect and ability. "
2020-2021,Arizona,"Gifted pupil means a child who is of lawful school age, who due to superior intellect or advanced learning ability, or both, is not afforded an opportunity for otherwise attainable progress and development in regular classroom instruction and who needs appropriate gifted education services, to achieve at levels commensurate with the child’s intellect and ability. "
2020-2021,Arkansas,"Gifted and talented children and youth are those of high potential or ability whose learning characteristics and educational needs require qualitatively differentiated educational experiences and/or services. Possession of these talents and gifts, or the potential for their development, will be evidenced through an interaction of above average intellectual ability, task commitment and /or motivation, and creative ability."
2020-2021,Colorado,"Those persons between the ages of four and twenty-one whose aptitude or competence in abilities, talents, and potential for accomplishment in one or more domains are so exceptional or developmentally advanced that they require special provisions to meet their educational programming needs. Gifted children are hereafter referred to as gifted students. Children under five who are gifted may also be provided with early childhood special educational services. Gifted students include gifted students with disabilities (i.e., twice exceptional) and students with exceptional abilities or potential from all socioeconomic, ethnic, and cultural populations. Gifted students are CAPABLE of high performance, exceptional production, or exceptional learning behavior by virtue of any or a combination of these areas of giftedness: General or specific intellectual ability Specific academic aptitude Creative or productive thinking Leadership abilities Visual arts, performing arts, musical or psychomotor abilities"
2020-2021,Connecticut,"(1) Extraordinary learning ability means a child identified by the planning and placement team as gifted and talented on the basis of either performance on relevant standardized measuring instruments, or demonstrated or potential achievement or intellectual creativity, or both. (2) Gifted and talented’ means a child identified by the planning and placement team as (A) possessing demonstrated or potential abilities that give evidence of very superior intellectual, creative or specific academic CAPABILITY and (B) needing differentiated instruction or services beyond those being provided in the general education program in order to realize the child’s intellectual, creative or specific academic potential. The term shall include children with extraordinary learning ability and children with outstanding talent in the creative arts. (3) Outstanding talent in the creative arts means a child identified by the planning and placement team as gifted and talented on the basis of demonstrated or potential achievement in music, the visual arts or the performing arts. "
2020-2021,Delaware,"Delaware’s Definition of Giftedness (Currently under Revision) The definition of a gifted child in Delaware (Title 14, Delaware Code, 1975, 1993) was developed for the purposes of federal education programs and is still the most universally accepted. Gifted and talented children are those identified by professionally qualified persons who, by virtue of outstanding abilities, are CAPABLE of high performance. These are children who require differentiated educational programs and/or services beyond those normally provided by the regular school program in order to realize their contribution to self and society. Children CAPABLE of high performance include those with demonstrated achievement and/ or potential ability in any of the following areas, singly or in combination: general intellectual ability; specific academic aptitude; creative productive thinking; leadership ability; visual and performing arts; psychomotor ability (Marland 1971, 2)"
2020-2021,Florida,Florida defines gifted students as students who have superior intellectual development and are CAPABLE of high performance.
2020-2021,Georgia,"A gifted education student is defined as one who demonstrates a high degree of intellectual and/or creative ability(ies), exhibits an exceptionally high degree of motivation, and/or excels in specific academic fields, and who needs special instruction and/or special ancillary services to achieve at levels commensurate with his or her ability(ies)."
2020-2021,Hawaii,"Gifted and talented are children and youth whose superior performance or potential indicates possible giftedness in intellectual, creative, or specific academic abilities, leadership capability, psychomotor ability, or talent in the performing and visual arts. "
2020-2021,Idaho,"Gifted/talented children. Those students who are identified as possessing demonstrated or potential abilities that give evidence of high performing capabilities in intellectual, creative, specific academic or leadership areas, or ability in the performing or visual arts and who require services or activities not ordinarily provided by the school in order to fully develop such capabilities. "
2020-2021,Illinois,"Children who give evidence of high performance CAPABILITY in areas such as intellectual, creative, artistic, leadership capacity, or specific academic fields, and who require services or activities not ordinarily provided by the school in order to fully develop such capabilities."
2020-2021,Indiana,"High ability student means a student who: (1) performs at or shows the potential for performing at an outstanding level of accomplishment in at least one (1) domain when compared with other students of the same age, experience, or environment; and (2) is characterized by exceptional gifts, talents, motivation, or interests. Domain includes the following areas of aptitude and talent: (1) General intellectual. (2) General creative. (3) Specific academic. (4) Technical and practical arts. (5) Visual and performing arts. (6) Interpersonal."
2020-2021,Iowa,1. Gifted and talented children are those children who are identified as possessing outstanding abilities and who are CAPABLE of high performance. Gifted and talented children are children who require appropriate instruction and educational services commensurate with their abilities and needs beyond those provided by the regular school program. 
,,"2. Gifted and talented children include those children with demonstrated achievement or potential ability, or both, in any of the following areas or in combination: "
,,a. General intellectual ability. 
,,b. Creative thinking. 
,,c. Leadership ability. 
,,d. Visual and performing arts ability. 
,,e. Specific ability aptitude.
2020-2021,Kentucky,"Exceptional students are identified as possessing demonstrated or potential ability to perform at an exceptionally high level in general intellectual aptitude, specific academic aptitude, creative or divergent thinking, psychosocial or leadership skills, or in the visual or performing arts."
,,
2020-2021,Louisiana,Gifted children and youth are students who demonstrate abilities that give evidence of high performance in academic and intellectual aptitude.
2020-2021,Maine,"Gifted and talented children shall mean those children in grades K-12 who excel, or have the potential to excel, beyond their age peers, in the regular school program, to the extent that they need and can benefit from programs for the gifted and talented.  Gifted and talented children shall receive specialized instruction through these programs if they have exceptional ability, aptitude, skill, or creativity in one or more of the following categories:  1. General Intellectual Ability as shown by demonstrated significant achievement or potential for significant accomplishment above their age peers in all academic areas "
,,2. Specific Academic Aptitude as shown by demonstrated significant achievement or potential for significant accomplishment above their age peers in one or more academic area(s) 
,,"3. Artistic Ability as shown by demonstrated significant achievement or potential for significant accomplishment above their age peers in the literary, performing, and/or visual arts (Maine Education Rules, Chap. 104) "
,,NOTE: Children with exceptional General Intellectual Ability and/or exceptional Specific Academic Aptitude usually comprise five percent of the school population. Students with exceptional Artistic Ability usually comprise five percent of the school population. Children in the top two percent of the school population may be considered highly gifted.
2020-2021,Maryland,"Gifted and talented student means an elementary or secondary student who is identified by professionally qualified individuals as: (1) Having outstanding talent and performing, or showing the potential for performing, at remarkably high levels of accomplishment when compared with other students of a similar age, experience, or environment; (2) Exhibiting high performance CAPABILITY in intellectual, creative, or artistic areas; (3) Possessing an unusual leadership capacity; or (4) Excelling in specific academic fields."
2020-2021,Minnesota,"Gifted and talented children and youth are those students with outstanding abilities, identified at preschool, elementary, and secondary levels. The potential of gifted students requires differentiated and challenging educational programs or services beyond those provided in the general school program. Students capable of high performance include those with demonstrated achievement or potential ability in one or more of these areas: general intellectual, specific academic subjects, creativity, leadership, and visual/performing arts. "
2020-2021,Mississippi,Intellectually gifted children shall mean those children and youth who are found to have an exceptionally high degree of intelligence as documented through the identification process. 
,,
,,Academically gifted children shall mean those children and youth who are found to have an exceptionally high degree of demonstrated academic ability as documented through the 
,,
,,identification process. 
,,
,,Artistically gifted children shall mean those children and youth who are found to have an exceptionally high degree of creativity and an exceptionally high degree of ability in the visual arts as documented through the identification process. 
,,
,,Creatively gifted children shall mean those children and youth who are found to have an exceptionally high degree of creativity and an exceptionally high degree of ability in the performing arts as documented through the identification process. 
2020-2021,Missouri,Gifted children - children who exhibit precocious development of mental capacity and learning potential as determined by competent professional evaluation to the extent that continued educational growth and stimulation could best be served by an academic environment beyond that offered through a standard grade-level curriculum. 
2020-2021,Montana,High ability/high potential students are defined as children with capabilities that require differentiated educational programs beyond those normally offered in public schools in order to fully achieve their potential contribution to self and society. 
2020-2021,Nebraska,"Learner with high ability means a student who gives evidence of high performance capability in such areas as intellectual, creative, or artistic capacity or in specific academic fields and who requires accelerated or differentiated curriculum programs in order to develop those capabilities fully. "
2020-2021,Nevada,Gifted and talented means a person who possesses or demonstrates outstanding ability in one or more of the following: 
,,
,,1. General intelligence; 2. Academic aptitude in a specific area; 3. Creative thinking; 4. Productive thinking; 5. Leadership; 6. The visual arts; or 7. The performing arts. 
2020-2021,New Hampshire,"Gifted and Talented Student means a student identified as having unique academic, artistic, or athletic potential according to assessments selected and administered locally."
2020-2021,New Jersey,Gifted and talented student means a student who possesses or demonstrates a high level of ability in one or more content areas when compared to his chronological peers in the school district and who requires modifications of his educational program if he is to achieve in accordance with his capabilities. 
2020-2021,New Mexico,"As used in 6.31.2.12 NMAC, gifted child means a school-age person as defined in Subsection D of Sec. 22-13-6 NMSA 1978 whose intellectual ability paired with subject matter aptitude/ achievement, creativity/divergent thinking, or problem-solving/critical thinking meets the eligibility criteria in 6.31.2.12 NMAC and for whom a properly constituted IEP team determines that special education services are required to meet the child’s educational needs. "
2020-2021,New York,"The term gifted pupils means those pupils who show evidence of high performance CAPABILITY and exceptional potential in areas such as general intellectual ability, special academic aptitude and outstanding ability in visual and performing arts. Such definition shall include those pupils who require educational programs or services beyond those normally provided by the regular school program in order to realize their full potential."
2020-2021,North Carolina,"Academically or intellectually gifted students exhibit high performance capability in intellectual areas, specific academic fields, or in both intellectual areas and specific academic fields. Academically or intellectually gifted students require differentiated educational services beyond those ordinarily provided by the regular educational program. Outstanding abilities are present in students from all cultural groups, across all economic strata, and in all areas of human endeavor. "
2020-2021,North Dakota,Student who is gifted means an individual who is identified by qualified professionals as being CAPABLE of high performance and who needs educational programs and services beyond those normally provided in a regular education program.
2020-2021,Ohio,"Gifted means students who perform or show potential for performing at remarkably high levels of accomplishment when compared to others of their age, experience, or environment and who are identified under division (A), (B), (C), or (D) of section 3324.03 of the Revised Code. "
2020-2021,Oklahoma,"Gifted and talented children means those children identified at the preschool, elementary and secondary level as having demonstrated potential abilities of high performance capability and needing differentiated or accelerated education or services. For the purpose of this definition, demonstrated abilities of high performance capability means those identified students who score in the top three percent (3%) on any national standardized test of intellectual ability. Said definition may also include students who excel in one or more of the following areas: "
,,
,,"a. creative thinking ability,"
,,"b. leadership ability,"
,,"c. visual performing arts ability, and d. specific academic ability. "
2020-2021,Oregon,"Talented and gifted children means those children who require special educational programs or services, or both, beyond those normally provided by the regular school program in order to realize their contribution to self and society and who demonstrate outstanding ability or potential in one or more of the following areas: "
,,
,,(a) General intellectual ability as commonly measured by measures of intelligence and aptitude. 
,,
,,(b) Unusual academic ability in one or more academic areas.
,,(c) Creative ability in using original or nontraditional methods in thinking and producing. 
,,
,,(d) Leadership ability in motivating the performance of others either in educational or noneducational settings. 
,,
,,"(e) Ability in the visual or performing arts, such as dance, music or art. "
2020-2021,Pennsylvania,"Mentally gifted—Outstanding intellectual and creative ability the development of which requires specially designed programs or support services, or both, not ordinarily provided in the regular education program. "
2020-2021,Rhode Island,"Learning Beyond Grade Level (frequently called Gifted and Talented Education) is the identification of students who show evidence of high achievement capability in areas such as intellectual, creative, artistic, or leadership capacity; as well as in specific academic fields, and who need services or activities not ordinarily provided by the school in order to fully develop those capabilities. "
2020-2021,South Carolina,1. Gifted and talented students are those who are identified in grades one through twelve as demonstrating high performance ability or potential in academic and/or artistic areas and therefore require educational programming beyond that normally provided by the general school programming in order to achieve their potential. 
,,
,,2. Gifted and talented abilities for these regulations include 
,,
,,(a) Academic and Intellectual Ability: Students who have the academic and/or intellectual potential to function at a high level in one or more academic areas. 
,,
,,"(b) Visual and Performing Arts: Students who have the artistic potential to function at a high performance level in one or more of the fine arts (dance, music, theatre, and visual arts). "
2020-2021,Tennessee,"Intellectually Gifted means a child whose intellectual abilities, creativity, and potential"
,,"for achievement are so outstanding that the child’s needs exceed differentiated general education programming, adversely affects educational performance, and requires specifically designed instruction or support services. Children from all populations (e.g., all cultural, racial, and ethnic groups, English Learners, all economic strata, twice exceptional, etc.) can be found to possess these abilities. Children identified as intellectually gifted are exempted from the discipline procedures at 34 C.F.R. §300.530- 537. Children with a dual diagnosis that includes intellectually gifted must be considered as children with a disability and may not be exempted from the discipline procedures at 34 C.F.R. §300.530-537. "
2020-2021,Texas,"Gifted and talented student means a child or youth who performs at or shows the potential for performing at a remarkably high level of accomplishment when compared to others of the same age, experience, or environment and who: "
,,
,,"(1) exhibits high performance capability in an intellectual, creative, or artistic area; (2) possesses an unusual capacity for leadership; or"
,,(3) excels in a specific academic field. 
2020-2021,Utah,"Gifted and talented programs means programs to identify, through multiple assessment instruments, and serve students with outstanding abilities in the following areas: "
,,
,,(i) general intellectual ability;
,,(ii) specific academic aptitude; and (iii) creative or productive thinking. 
2020-2021,Vermont,"Gifted and talented children means children identified by professionally qualified persons who, when compared to others of their age, experience, or environment, exhibit capability of high performance in intellectual, creative, or artistic areas, possess an unusual capacity for leadership, or excel in specific academic fields. "
2020-2021,Virginia,"Gifted students means those students in public elementary, middle, and secondary"
,,schools beginning with kindergarten through twelfth grade who demonstrate high levels
,,"of accomplishment or who show the potential for higher levels of accomplishment when compared to others of the same age, experience, or environment. Their aptitudes and potential for accomplishment are so outstanding that they require special programs to meet their educational needs. "
2020-2021,Washington,"Highly capable students are students who perform or show potential for performing at significantly advanced academic levels when compared with others of their age, experiences, or environments. Outstanding abilities are seen within students’ general intellectual aptitudes, specific academic abilities, and/or creative productivities within a specific domain. These students are present not only in the general populace but are present within all protected classes according to chapters 28A.640 and 28A.642 RCW. "
2020-2021,West Virginia,Giftedness is exceptional intellectual abilities and potential for achievement that requires specially designed instruction and/or services beyond those normally provided in the general classroom instruction. 
2020-2021,Wisconsin,"Gifted and talented pupils means pupils enrolled in public schools who give evidence of high performance capability in intellectual, creative, artistic, leadership or specific academic areas and who need services or activities not ordinarily provided in a regular school program in order to fully develop such capabilities."
2020-2021,Wyoming,Gifted and talented students identified by professionals and other qualified individuals
,,"as having outstanding abilities, who are capable of high performance and whose abilities, talents and potential require qualitatively differentiated educational programs and services beyond those normally provided by the regular school program in order to realize their contribution to self and society. "